Lge,Sea,Date,HT,AT,HS,AS,GD,WDL,pr_HS,prd_AS,prd_W,prd_D,prd_L
ARG1,23-24,23/04/2023,Argentinos Juniors,GyE La Plata,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Belgrano Cordoba,Newells Old Boys,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,River Plate,Independiente,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Racing Club,Atletico Tucuman,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Rosario Central,Boca Juniors,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Estudiantes,Talleres Cordoba,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,San Lorenzo,Platense,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,CA Colon,Velez Sarsfield,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Barracas Central,Defensa y Justicia,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Instituto de Córdoba,CA Banfield,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,14/04/2023,Newcastle United Jets,Macarthur FC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,15/04/2023,Central Coast Mariners,Melbourne City FC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,15/04/2023,Western Sydney Wanderers,Melbourne Victory,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,16/04/2023,Wellington Phoenix,Brisbane Roar,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,16/04/2023,Sydney FC,Perth Glory,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,16/04/2023,Adelaide United,Western United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,21/04/2023,Western Sydney Wanderers,Wellington Phoenix,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,22/04/2023,Newcastle United Jets,Central Coast Mariners,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,22/04/2023,Western United,Melbourne City FC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,23/04/2023,Melbourne Victory,Macarthur FC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,23/04/2023,Perth Glory,Adelaide United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
AUS1,22-23,24/04/2023,Brisbane Roar,Sydney FC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Cercle Brugge,St Truiden,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Eupen,Waregem,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Genk,Anderlecht,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Mechelen,Gent,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Oostende,Oud-Heverlee Leuven,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Westerlo,Club Brugge,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Antwerp,Kortrijk,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Union Saint-Gilloise,RFC Seraing,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,15/04/2023,Standard,Charleroi,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Club Brugge,Eupen,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Gent,Oostende,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Kortrijk,Union Saint-Gilloise,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Oud-Heverlee Leuven,Standard,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Anderlecht,Mechelen,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Charleroi,Genk,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,RFC Seraing,Westerlo,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,Waregem,Cercle Brugge,-1,-1,0,D,-1,-1,0.00,0.00,0.00
BEL1,22-23,22/04/2023,St Truiden,Antwerp,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,15/04/2023,FC Basel,Young Boys,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,15/04/2023,FC Luzern,FC Zurich,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,15/04/2023,FC St Gallen,Winterthur,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,15/04/2023,Grasshoppers Zurich,FC Sion,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,15/04/2023,Servette Geneve,FC Lugano,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,22/04/2023,FC Basel,FC Luzern,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,22/04/2023,FC Lugano,FC Sion,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,22/04/2023,Winterthur,Grasshoppers Zurich,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,22/04/2023,FC Zurich,FC St Gallen,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHE1,22-23,22/04/2023,Young Boys,Servette Geneve,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Audax Italiano,Universidad de Chile,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Deportes Copiapo,CD Huachipato,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Coquimbo Unido,Nublense,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Curico Unido,Union Espanola,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Everton,Deportes Magallanes,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,CD Palestino,CD Cobresal,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Union La Calera,Higgins,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,16/04/2023,Universidad Catolica,Colo Colo,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,CD Cobresal,Curico Unido,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,Colo Colo,CD Palestino,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,Everton,Universidad de Chile,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,CD Huachipato,Union La Calera,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,Deportes Magallanes,Deportes Copiapo,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,Nublense,Audax Italiano,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,Universidad Catolica,Higgins,-1,-1,0,D,-1,-1,0.00,0.00,0.00
CHL1,23-24,23/04/2023,Union Espanola,Coquimbo Unido,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,Khenchela,ES Setif,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,Chelghoum Laid,Paradou AC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,ASO Chlef,Biskra,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,El Bayadh,Magra,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,CS Constantine,JS Saoura,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,USM Alger,MC Alger,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,JS Kabylie,MC Oran,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,15/04/2023,CR Belouizdad,RC Arbaa,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,JS Saoura,USM Alger,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,RC Arbaa,ASO Chlef,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,Magra,CR Belouizdad,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,Paradou AC,El Bayadh,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,MC Alger,Khenchela,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,Biskra,CS Constantine,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,ES Setif,JS Kabylie,-1,-1,0,D,-1,-1,0.00,0.00,0.00
DZA1,22-23,22/04/2023,MC Oran,Chelghoum Laid,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Aston Villa,Newcastle United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Chelsea,Brighton,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Everton,Fulham,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Southampton,Crystal Palace,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Leeds United,Liverpool,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Manchester City,Leicester City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Nottingham Forest,Manchester United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Tottenham Hotspur,Bournemouth,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,West Ham United,Arsenal,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,15/04/2023,Wolverhampton,Brentford,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Bournemouth,West Ham United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Brighton,Manchester City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Crystal Palace,Everton,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Arsenal,Southampton,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Brentford,Aston Villa,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Fulham,Leeds United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Liverpool,Nottingham Forest,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Leicester City,Wolverhampton,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Manchester United,Chelsea,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG1,22-23,22/04/2023,Newcastle United,Tottenham Hotspur,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Sunderland,Birmingham City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Blackburn Rovers,Hull City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Blackpool,Wigan Athletic,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Middlesbrough,Norwich City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Millwall,Preston North End,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Reading,Burnley,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Watford,Bristol City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Queens Park Rangers,Coventry City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Rotherham United,Luton Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Sheffield United,Cardiff City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Stoke City,West Bromwich Albion,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,15/04/2023,Swansea City,Huddersfield Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,18/04/2023,Sunderland,Huddersfield Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,18/04/2023,Blackpool,West Bromwich Albion,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,18/04/2023,Millwall,Birmingham City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,18/04/2023,Rotherham United,Burnley,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,18/04/2023,Sheffield United,Bristol City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,18/04/2023,Stoke City,Wigan Athletic,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,19/04/2023,Blackburn Rovers,Coventry City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,19/04/2023,Middlesbrough,Hull City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,19/04/2023,Watford,Cardiff City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,19/04/2023,Queens Park Rangers,Norwich City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,19/04/2023,Swansea City,Preston North End,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG2,22-23,19/04/2023,Reading,Luton Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Accrington,Fleetwood Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Bristol Rovers,Derby County,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Burton,Sheffield Wednesday,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Cambridge,Peterborough United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Exeter City,Plymouth Argyle,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Morecambe,Wycombe Wanderers,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Forest Green,Barnsley,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Ipswich Town,Charlton Athletic,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Lincoln,Port Vale,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Milton Keynes Dons,Cheltenham,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Oxford United,Bolton,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,15/04/2023,Shrewsbury Town,Portsmouth,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Accrington,Peterborough United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Bristol Rovers,Sheffield Wednesday,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Burton,Bolton,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Cambridge,Wycombe Wanderers,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Exeter City,Derby County,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Morecambe,Cheltenham,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Forest Green,Fleetwood Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Ipswich Town,Port Vale,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Lincoln,Barnsley,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Milton Keynes Dons,Charlton Athletic,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Oxford United,Portsmouth,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG3,22-23,18/04/2023,Shrewsbury Town,Plymouth Argyle,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Carlisle,Northampton Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Crawley Town,Tranmere,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Crewe Alexandra,Walsall,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Gillingham,Stockport County,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Stevenage,AFC Wimbledon,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Grimsby,Mansfield Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Harrogate Town,Doncaster Rovers,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Newport County,Hartlepool,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Rochdale,Bradford,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Salford City,Colchester,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Sutton United,Leyton Orient,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,15/04/2023,Swindon Town,Barrow,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Carlisle,Stockport County,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Crawley Town,Colchester,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Crewe Alexandra,AFC Wimbledon,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Gillingham,Leyton Orient,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Stevenage,Doncaster Rovers,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Grimsby,Barrow,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Harrogate Town,Walsall,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Newport County,Mansfield Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Rochdale,Tranmere,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Salford City,Hartlepool,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Sutton United,Northampton Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG4,22-23,18/04/2023,Swindon Town,Bradford,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Aldershot,Scunthorpe United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Boreham Wood,Wealdstone,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Dorking Wanderers,Altrincham,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Barnet,Wrexham,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Chesterfield,Eastleigh,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Gateshead,Bromley,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Halifax,Maidstone,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Notts County,Woking,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Oldham Athletic,Maidenhead United,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Solihull,Yeovil Town,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Southend,Dagenham and Redbridge,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,15/04/2023,Torquay,York City,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Altrincham,Torquay,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Bromley,Chesterfield,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Dagenham and Redbridge,Halifax,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Eastleigh,Solihull,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Woking,Gateshead,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Maidenhead United,Barnet,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Maidstone,Notts County,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Scunthorpe United,Southend,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Wealdstone,Dorking Wanderers,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Wrexham,Boreham Wood,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,Yeovil Town,Oldham Athletic,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ENG5,22-23,22/04/2023,York City,Aldershot,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Auxerre,Nantes,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Monaco,Lorient,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Clermont,Angers SCO,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Toulouse,Olympique Lyonnais,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Olympique Marseille,Troyes,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Lille,Montpellier,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Paris Saint-Germain,Lens,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,RC Strasbourg,AC Ajaccio,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Brest,Nice,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,16/04/2023,Rennes,Stade de Reims,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,AC Ajaccio,Brest,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Auxerre,Lille,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Lorient,Toulouse,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Nantes,Troyes,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Montpellier,Rennes,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Nice,Clermont,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Olympique Lyonnais,Olympique Marseille,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Lens,Monaco,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Angers SCO,Paris Saint-Germain,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA1,22-23,23/04/2023,Stade de Reims,RC Strasbourg,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA2,22-23,15/04/2023,Guingamp,Amiens SC,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA2,22-23,15/04/2023,Sochaux,FC Pau,-1,-1,0,D,-1,-1,0.00,0.00,0.00
FRA2,22-23,15/04/2023,Valenciennes,Chamois Niortais,-1,-1,0,D,-1,-1,0.00,0.00,0.00
